time,d238U,err,age_Ma,depth,site,d238U_2sd,time_2kyr,time_5kyr
0,-0.07,0.05,201.641214,2.8,Val,0.1,0,0
20000,-0.3,0.06,201.6186831,7.4,Ita,0.12,22000,20000
20000,-0.41,0.105,201.6182716,9.8,Val,0.21,22000,20000
60000,-0.5,0.01,201.5808848,20,Val,0.02,60000,60000
100000,-0.21,0.02,201.5449588,30.8,Val,0.04,96000,95000
100000,-0.25,0.045,201.5448148,23.9,Ita,0.09,96000,95000
130000,-0.27,0.08,201.5169547,40,Val,0.16,124000,125000
130000,-0.06,0.08,201.5115844,41.95,Val,0.16,130000,130000
140000,-0.09,0.025,201.4991358,35.4,Ita,0.05,142000,140000
150000,-0.2,0.075,201.4925514,46.9,Val,0.15,148000,150000
150000,-0.28,0.025,201.4891358,48,Val,0.05,152000,150000
160000,-0.02,0.065,201.4809053,51.3,Val,0.13,160000,160000
170000,-0.19,0.015,201.4771399,41.1,Ita,0.03,164000,165000
170000,-0.17,0.075,201.4710288,43.1,Ita,0.15,170000,170000
180000,-0.19,0.03,201.4679012,53.5,Val,0.06,174000,175000
180000,-0.13,0.065,201.4650412,45.5,Ita,0.13,176000,175000
180000,-0.4,0.08,201.4609259,57.02,Val,0.16,180000,180000
190000,-0.32,0.095,201.4581276,57.9,Val,0.19,184000,185000
190000,-0.52,0.015,201.4542593,47.1,Ita,0.03,186000,185000
190000,-0.44,0.09,201.4484362,49.9,Ita,0.18,192000,190000
200000,-0.46,0.03,201.4390535,53,Ita,0.06,202000,200000
210000,-0.42,0.03,201.4330453,56.6,Ita,0.06,208000,210000
210000,-0.36,0.11,201.4318878,64.7,Val,0.22,210000,210000
220000,-0.38,0.065,201.424648,66.2,Val,0.13,216000,215000
220000,-0.43,0.04,201.419111,67.7,Val,0.08,222000,220000
230000,-0.52,0.015,201.4134074,47.1,Ita,0.03,228000,230000
240000,-0.5,0.1,201.4081204,71.4,Val,0.2,234000,235000
250000,-0.69,0.055,201.3912952,72.9,Ita,0.11,250000,250000
260000,-0.44,0.02,201.385139,79,Val,0.04,256000,255000
260000,-0.67,0.03,201.3824479,77,Ita,0.06,258000,260000
280000,-0.65,0.025,201.3629077,86.5,Ita,0.05,278000,280000
280000,-0.44,0.08,201.3619194,86,Val,0.16,280000,280000
290000,-0.68,0.08,201.3484997,93,Ita,0.16,292000,290000
310000,-0.54,0.085,201.3347584,98.3,Ita,0.17,306000,305000
310000,-0.61,0.04,201.3326508,95,Val,0.08,308000,310000
330000,-0.49,0.085,201.3135036,100.6,Val,0.17,328000,330000
360000,-0.63,0.08,201.2879501,108,Val,0.16,354000,355000
370000,-0.58,0.07,201.2756378,112,Val,0.14,366000,365000
400000,-0.54,0.07,201.24188,122,Val,0.14,400000,400000
440000,-0.42,0.07,201.2012398,135,Val,0.14,440000,440000
490000,-0.57,0.05,201.1559914,147,Val,0.1,486000,485000
580000,-0.51,0.055,201.0669115,175,Val,0.11,574000,575000
660000,-0.38,0.045,200.9834638,200,Val,0.09,658000,660000
760000,-0.43,0.08,200.8868346,228,Val,0.16,754000,755000
850000,-0.26,0.08,200.7964092,255,Val,0.16,844000,845000
1000000,-0.24,0.1,200.6428741,302,Val,0.2,998000,1000000
1180000,-0.41,0.09,200.4618208,356,Val,0.18,1180000,1180000
